Company Name,Year Established,No. of employees,Address,Contact Info
shiftingsolutions.in,2016,10,"Vaishali, Ghaziabad, U.P. : 201010, Uttar pradesh",Rajeev Kumar
Jaipur,2018,1995,"Jaipur, Rajasthan",Jaipur
XYZ,2012,500,"Delhi, Delhi",vikas
Ameyaa Yaatra,2017,25,"137 Gayathri complex, Shop No:B3, Trunk road, Kumananchavadi, Poonamallee, Chennai - 600056, Tamil Nadu",Ameyaa yaatra
Assure Trips,2018,25,"Kh No. 725/4 2nd Floor, Extended Lal Doora, Tomer Colony Burari North Delhi, Delhi",Assuretrips
HAPPY CABZ,2016,3,"DILIP HOUSE 2nd FLOOR HATKESHWAR -CTM ROAD MANINAGAR, GUJARAT",KISHAN PANCHAL
Manutha,2006,10,"Address – 324/1 2Nd Floor D Subbaiah Road Chamaraja Mohalla Mysuru, Karnataka 570024    +91 9972366694, Karnataka",manutha
Sky Candy High Adventure,2004,15,"Village Kotli, Bir Billing Road, Himachal Pradesh",Manjeet Kumar
Trinetra Tours India Pvt Ltd,2005,50,"607, Ansals Majestic Towers, Vikas Puri, New Delhi, New Delhi, Delhi",Mr Tapas Banerjee
Educational Travel with Happymiles,2006,50,"1003, 10thFloor, Technocity IT Business Park, Mhape, Ghansoli, Maharashtra",Mark
Namdev Yatra,2001,100,"Chitra Cinema Wali Gali, Haridwar 249407, uttrakhand",Sunil Kumar
Chennai Balaji Travels,2004,15,"No: 21/3, Srihari Apartments, Vanniar St,  Choolaimedu,, Tamil Nadu",Sathishn
Chawla Travels Rishikesh,1999,100,"1-Ghat Road Chowk, Rishikeshom, Uttarakhand",Ashu Chawla
Air Organisers,2017,10000,"Aggarwal Cyber Plaza 2, 580, Fifth Floor, NSP, Delhi",Shivam
Chardham Darshan,1980,100,"Lane No. 3 Haripur Kalan Via Raiwala, Uttarakhand",Prakash Chandra
Saba Tours and Travels,1996,15,"Next to Welcome Hall, Kondhwa Khurd., maharashtra",sameer shaikh
Prime Adventure Tour,2013,20,"Hotel Mansingh,Sansar Chand Road, Rajasthan",Pramod Sharma
Shirdi Sai Holidays,2015,5,"75, 11th Cross,, West of Chord Road,, Mahalakshmipuram, Karnataka",Venkat
Sea Water Sports,2006,20,"18 & 19 - A, Parshwa Giriraj C.H.S,Harishankar Joshi Road, Near Devraj Mall,Dahisar (East), Mumbai,, Indiana",Jignesh Kolwalkar
India Best Travel Agent in Haridwar,2007,100,"Aananda House-29 B, lane No.2, Khanna Nagar,Jwalapur, Haridwar (Uttarakhand), Uttarakhand",Anjeet Kumar
Times Quest Services Pvt Ltd,2013,20,"D-9, Ist Floor, Street-No.25, Madhu Vihar, I.P.Extension, New Delhi, delhi",09821385140
Champions Yacht Club,2004,200,"Champions Island, Divar, Tiswadi Taluka Goa, Goa",Champions Yacht Club
Mysore Devi Travels,2007,3,"Mysore, Karnataka, India, Karnataka",Mysore Devi Travels
Siddeshwara Travels- Car Rentals in Bangalore,1998,50,"#32, 3rd Cross, 3rd Main, Sukhsagar Cross Road, Kammanahalli, Karnataka",Siddeshwara Nandisha. S
Sharp Holidays,1985,100,"111-113, Somdutt Chambers-II Bhikaji Cama Place - New Delhi - 110066, Delhi",Anubhav Gupta
Bali Tour Packages from India,2015,5,"Plot No- 37 Office No - 03 Bellow United Bank Of India Near Kaushambi Metro Station Near Ghaziabad, 110018",Hemant Bhasin
Ez Charters,2007,50,"C-13, Panchsheel Enclave, South delhi, Delhi",Ashish Jaiswal
Peer Voyages Agra India,2010,5,"Agra, Alaska",sunil
Chal Uttaranchal,2013,5,"1st Floor, Banjarawala Chowk, Near Durga Mata Mandir, Uttarakhand",Raman
Maharajas Express,2015,50,"Maharajas Express, 17A/46, First Floor, WEA, Karol Bagh, New Delhi-110005, (India), Delhi",Maharaja Train
traveloes,2016,200,"205 Van Buren St #140, Herndon, VA 20170, USA, Virginia",Vivek SIngh
Jas Tours And Travels,2012,6,"209/210 A WING,  Siddharth Excellence OPP D-MART Vasana, Road Vadodara, Gujarat",Anil Bhagchandani
Ajanta Travels,1980,100,"Haridwar Road, Opp.Taxi Stand Rishikesh (Uttarakand) PIN-249201, Uttarakhand",Abhishek Kukreja
Rajeev Tour and Travels,1997,15,"3055, ssa road Dariya Ganj, Delhi",Rajeev
Sangeeta Travels,2015,1,"112 Ballabh Bari Gumanpura Kota, Rajasthan",Nikhar Saraswat
Balaka Tours and Travels,2015,50,"BD-39, Neelkamal Super Market, Rabindrapally, Kestopur, Kolkata-700101, West Bengal",Indraneel Saha
Nath Krupa Travels Pune,2008,15,"Old Kharadi Mundhwa Rd, Ganesh Nagar,  Vadgaon Sheri, Maharashtra",Prabhakar
journey cart holidays India. pvt ltd,2011,10,"33/15,Prashant Building,Opp Garware College,Karve Road,Pune 411004, Maharashtra",ashish lagate
BTW visa services (India) pvt ltd,2011,10,"282, Khandke Building, Office No. 21, 2nd floor, Shahid Bhagat Singh Road,Fort Market,Near Sher-e-Punjab Hotel, Mumbai- 400 001, Maharashtra",pramod kondkar
Hire Taxi Service in Pathankot – Dhauladhar Travels,2000,30,"Malikpur Chowk, Pathankot, Punjab > Other areas",Mukesh Kumar
Dehradun To Delhi Taxi,1985,4,"isbt dehradun, Uttaranchal > Dehradun",8433249527
travelsinbanglore,2000,10,"# 174,Hongasandra Mico Layout Behind Matha,School and near Water tank, Bengaluru, Karnataka 560068, Karnataka",pradeep
pawanhans,2016,50,"pawanhans, Delhi",pawanhans
Small World Tourism,2007,50,"Scottish Mall Unit No SF - 05, Sector 48 Sohna Road Gurgaon - 122001, Gurgaon",Small World Tourism
My Kerala Trip,2009,25,"Rasheed Towers, Pallimukku, Kerala",Manu
Deviii travel,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",pradeep
Travel Suvidha,2016,50,"S-8, Dwarika Appartment,Central Spine, Vidhyadhar Nagar, Rajasthan",Abhishek
Aananda Holidays,2011,50,"Aananda House-29 B, lane No.2, Khanna Nagar,Jwalapur, Haridwar., Uttrakhand",Anjeet Kumar
Tigris Trail,2012,17,"Tigristrail Domestic Package ToursRamnagar Road, Near Govt. Hospital Kashipur, Distt U.S. Nagar, Uttarakhand, uttarakhand",Amit arora
Devi itravel,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",pradeep
My Travel Centra in Lucknow,2017,10,"3 ,  1st  Floor  , SHARAN CHAMBER-1 , PARK ROAD ,HAZRATGANJ , LUCKNOW, Uttar Pradesh",arif
Deviiitravel,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",pradeep
deviitravel,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, karnataka",pradeep
traveldevi,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",devitravel
devi,2015,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",pradeep
Kashmir Alpine Trek,1981,6,"Abi Guzar Rd, Press Colony, jammu and kashmir",Waseem
Devitravel,2015,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, karnataka",pradeep
Airocity Holidays,2016,50,"Office No. 208-209 Sikka Tower 9 Commercial Complex, Preet Vihar, New Delhi, Delhi",Airocity Holidays
Himalayan Asia Treks and Expedition P. Ltd.,2004,15,"Thamel Marg, Kathmandu, Nepal, Bagmati",Amrit Chhetri
epilgrim,2013,20,"69/6A 2nd Floor,Behind CP65 Banquet Hall Kitri Nagar Metro Piller 284, DELHI",edwin asuja
Roamingroutes,2015,456,"Real V3 Apartment, Jagatpura, Rajasthan",Anurag Khotari
Devi travel,2017,4,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, karnataka",pradeep
Airtickets India Pvt Ltd,2011,100,"C-101, Sector-2, Noida, Uttar Predesh",Cheapticket
Yuva Trip,2012,50,"Plot No. 64, 2nd Floor,, Patparganj Industrial Area,, New Delhi",Yuva Trip
Shreeraj Logistic,2008,10,"Shreeraj Logistic,201,Kalash-1, B/h,Navarangpura Post Office, Gujarat",Vivek Shah
car rental in udaipur,2014,3,"34 ssvina udaipur, rsjasthan",naeem khan
The Traveller Holidays,2017,10,"12, Bansipuri 1st, Jagatpura, Rajasthan",Dinesh Kumar
Jolly Day Tours,2010,10,"AP, East Godavari",Mangesh Kumar
EZI Drive,2009,500,"No 49, Ground floor,5th cross,  Ramanjeneya Layout, Marathahalli, Bangalore",Ram
IndoPacificHolidays,2014,20,"301, R.G Complex, Sector 5, New Delhi",Jainendra Singh
My Travel Centra,2016,10,"Fortune Square, Vapi Daman Road, Industrial Estate, Vapi - 396195, http://www.mytravelcentra.com, Gujarat",akhtar
mysore cabs,2010,3,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, karnataka",devi travels
Gorakhpur Taxi Service,2015,50,"Address: H. No-524A Syndicate Bank Street Geeta Vatika Shahpur, Gorakhpur, Uttar Pradesh 273006, UP",Shubham Verma
MusafirCabs,2016,40,"A Block, Flat Number -1106, 11th Floor, Saraswati Complex, Gomti Nagar, Lucknow – 226010, Uttar Pradesh",Parul kumari
Mayilai Abi Cabs- Mayiladuthurai Travels,1999,4,"14,Lalithaparameswari Nagar,, KK nagar, Tamilnadu",07358822449
devitravels,2016,3,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",devi travels
Tripeur,2015,20,"#205, SA Arcade, 4th Floor, 24th Main, JP Nagar 5th Phase, Bengaluru – 560078, Karnataka, India., Karnataka",09845101570
devi travels,2017,5,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",devi travels
Bharat Taxi,2009,30,"www.bharattaxi.com, Uttar Pradesh",Raj Kishor Kannoujea
Trust Travel & Tours Marine & Corporate Travel Since 1984,2004,25,"Madhuban Building, 23 Cochin Street, 323 S.B.S. Road, Fort, Mumbai – 400001., Maharashtra",TRUST N TRAVEL
Orange Tours and Travels,2011,500,"Plot No : 132, Near Suchitra Bus Stop,Suchitra, Jeedimetla Village Hyderabad, Telangana, Pin: 500055, Telangana",Sri M.Sunil kumar
"River Rafting in Rishikesh, adventure camps, River Rafting Packages",2004,25,"NH 58, NIM Beach Road Tapovan, Near Hotel Narayana Palace.249201, JAMMU KASHIMIR",rewildindia
"Chadar Trek, Frozen River Trek, Zanskar Trek & Winter Treks India",2004,5,"Nh 58,nim Beach Road Tapovan, Near Hotel Narayana Palace. Uttarakhand 249137, JAMMU KASHIMIR",mychadartrek
Book the Journey,2017,4,"189, Dda Flat, Pocket-9, Nasirpur, Sector-1a, Dwarka, DELHI",RP Singh
Sv Cabs,2000,10,"#82/7A 4th cross SBM Colony Mathikere Bangalore, Karnataka",Venkatesh
India Tourist Taxi Car Rental Service,2016,50,"132B/28, First Floor Anant Raj Plaza Near Bank of Baroda, Civil Lines,, Allahabad, Uttar Pradesh 211001, Uttar Pradesh",Shubham Verma
ziphop,2014,60,"1st Block, Kormangala, http://www.ziphop.in/, Karnataka",ziphop
India Tourist Taxi,2016,2016,"132B/28, First Floor Anant Raj Plaza Near Bank of Baroda, Civil Lines,, Allahabad, Uttar Pradesh 211001, UP",Shubham Verma
Ahilya Car Rental,2000,20,"141 Suyash Vihar B/H Hotel Fortune Landmark Vijay Nagar, Madhya pradesh",Ahilya Car Rental
cloud18holidays,2000,50,"Kamal Bhawan, Sindhu Nagar, Krishna Nagar, Alambagh, Near Shasho Veer Mandir, Lucknow- India, Uttar Pradesh",cloud 18
PrivateHolidays,2014,20,"No. 3 Domlur Service Road, Karnataka",PrivateHolidays
comfortcarz,2014,15,"Off No. 6A, 2nd Floor, Surya Garden,, Peelamedu, Coimbatore, Tamil Nadu 641004, Tamil Nadu",comfortcars
Groupfarez,2017,20,"# 376 | 3rd Floor | Aggarwal Cyber Plaza-II NSP | Pitampura, New Delhi",Group Farez
Tixilo Travel Pvt ltd,2014,5,"60 Karni Nagar Basni 1st, Rajasthan",Yashdeep
Jeremiah Holiday,2017,2018,"Near 1st Class Judicial Magistrate Court,TMV Tower,Angamaly, Kerala > Ernakulum",Soji joesph
Adit Tours,2016,20,"202 Bestech Chambers B Block Sushant Lok 1, Haryana",Amit Thakur
MAMA TRAVELS,2015,10,"CHAPEL ROAD HOUNSLOW, GREATER LONDON",MAMA TRAVELS
AwadhTrip,2016,10,"2nd Floor, S-2/639-2, Varuna Vihar Colony, Sikraul, Varanasi, Uttar Pradesh",Rajeshwar Rao
SHRI BHAKTI TAXI SERVICES,2008,10,"4, shree satya society, near over bridge, Chandlodia Road, Chandlodia, Ahmedabad, Gujarat 380061, Gujarat",Chirag Patel
Dream World Travels in delhi,2014,5,"JG -2/771-C, Near CRPF Camp, Vikas Puri, New Delhi: 110018, Delhi",+919599135952
welovealmaty,2016,100,"Suite 202, Mohta building 4 Bhikaji Cama Place, Delhi",Welovealmaty
Himachal Travel Experts,2014,10,"Rangri-Kanyal Road, Manali, HP, Himachal Pradesh",Himachal Travel Experts
Infinite Journeys,2000,10,"103, Mahadkar Chambers, Karve Road, Above Papa John's Pizza, Kothrud, Jhala Co-Op Housing Society Kothrud,, maharastra",Infinite Journeys
Awadh Trip,2016,8,"2nd Floor, S-2/639-2, Varuna Vihar Colony, Sikrail, Varanasi, Uttar Pradesh",Swarnlata
Visvas India,2015,50,"No: 205, Mezzanine Floor, JSA Towers, Double Road, Indiranagar 1st Stage,, Karnataka",Shivakumar Balakrishnan
Honeydew Travel,2010,15,"""H 903, Roystonea Building, Near Seasons Mall, Magarpatta City, Hadapsar, Pune"", Maharashtra",Mangesh Gujar
Tirupathi SHRI BALAJI TRAVELS,2013,12,"No.12, Thangal Street, Virugambakkam, Near Koyambedu, Chennai - 600 092., Tamilnadu",09884094210
Shraddha Rent A Car,2000,10,"66 ratanlok colony vijay nagar indore, madhya pradesh",Mr. Santosh
funseasonal tours and travels,2015,50,"faridabad, Haryana",anshika gupta
Manali to Delhi taxi service,2000,200,"Bestway Cabs Services PVT LTD ,SCO No 1072-73,Cabin No 8, Sector 22-B, Chandigarh",Bestway Cabs
KTC India Pvt Ltd,1943,50,"RZ-A/96, Road No.6, Street No.9, Mahipalpur Extension, Delhi",KTC India
Mehra Tour & Travels,2008,10,"Plot no 3036, Chandigarh",Jatin kumar
Krishna Krishna Travels,2015,4,"Shop No. 27, Ganga Puri Road, Opp Durga Mandir, Panipat, Haryana",Rohit Makhija
eKashmir Tourism,2005,10,"C-257, Peeragarhi, Paschim Vihar, Delhi",eKashmir Tourism
Vacation Trip India,2015,10,"B-90, Ground Floor,Amba Mata Scheme,, Rajasthan",Jitendra
